name,category,size,avg doc length,avg sentence length,avg sentences in doc,avg text dynamics,avg nouns to verbs,avg stopwords to words,avg punctuation to words
thesis,Academic,54,47989.66451612903,21.98147130268267,2183.1870967741934,0.04799097870267227,7.406464300121017,0.24651248830729414,0.2253294324933944
plwiki,Internet,3172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000_novels_corpus_CLARIN-PL,Prose,145,22415.196,14.519645235343804,1543.784,0.15474163152532772,1.5069628238083541,0.40678417445022563,0.245283244456127
wolne_lektury_corpus,Prose,250,5944.058014805862,14.490547413935982,410.2024474996223,0.1500349483983721,1.5721528602814905,0.40539094930525127,0.24287588972268
project_gutenberg_pl_corpus,Prose,3,14570.225806451614,14.809567526804157,983.8387096774194,0.15335737706369817,1.6279089911647513,0.3500222504134592,0.39876283273224006
open_subtitles_corpus,Dialogue,1395,3574.513617876529,5.104932552244773,700.2078051559607,0.18685532396716745,0.9566982832200384,0.44790979956026994,0.3624685809786438
biblioteka_nauki_pl_corpus,Academic,9165,5910.116117406678,25.051638991800207,235.91734334592448,0.04824581528973155,5.279665348603798,0.19497624173369232,0.22646605763300465
saos,Law,8248,2923.2409997004124,29.06143089614699,100.58833682852072,0.05974690533381465,5.666133771377035,0.0,0.237269853911924
PPC_corpus,Law,4544,1968.0616806942567,17.129785062479765,114.89120695419592,0.08466912115503689,3.6969642238831892,0.3416854041009363,0.17652259815938545
ISAP_corpus,Law,1738,2987.4034181714096,24.164135390331193,123.62964243971089,0.03555491472840463,9.599590606634283,0.2151319664400244,0.284001481672361
CEON_corpus,Academic,1147,15215.849204846649,20.431671638569664,744.7187618326392,0.06262928662831149,5.037949762025524,0.24667680737624423,0.28220559170404574
EUREKA_corpus,Law,9734,3091.660217417589,27.364485764181094,112.98075337722722,0.04741705104221655,7.727878877281524,0.2823804587037545,0.19531861751003923
europeana_eu_pl_corpus,Academic,16747,17608.253381150058,22.339664766912698,788.20580187173,0.06244822008364942,3.2484250976485898,0.19630955884267426,0.2295486216628072
web_artykuły_blogi_1,Internet,10891,1666.933715,14.915058406899616,111.761796,0.10823344706301054,2.542499749276655,0.37164780304416606,0.20128895527198573
web_artykuły_blogi_2,Internet,8814,1345.078918,14.82230196899698,90.746965,0.10842737407322892,2.4858463540081956,0.3779461644941193,0.20611961594955278
web_artykuły_blogi_3,Internet,7719,1240.744329860075,14.638448987218585,84.759275449429,0.11388915006083349,2.320684302750977,0.38647245487905174,0.20850602105730962
web_artykuły_edukacja_1,Internet,8166,1148.907575,17.673386057382455,65.007779,0.0724387477382591,4.910879891440868,0.2747815697881529,0.20766394372497718
web_artykuły_edukacja_2,Internet,1955,741.8039233190933,15.216192622873562,48.750955097925434,0.08287740699962565,4.093030498469373,0.29885982058848853,0.2079687015814134
web_artykuły_inne_edukacja_1,Internet,6515,970.757814,15.667189988830913,61.961195,0.09413957393084657,3.213838077382944,0.3341359001412066,0.20999321361115514
web_artykuły_inne_edukacja_2,Internet,7839,1459.4296015968869,16.10347098343801,90.6282628818266,0.09145709361193766,3.437829103990801,0.32330161614368585,0.21117850743936345
web_artykuły_sport,Internet,3607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
